Rk,School,G,W 2000,L 2000,W-L% 2000,SRS,SOS,W 2000 Conf,L 2000 Conf,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
158,Mercer,28,13,15,0.464,-7.71,-5.53,10,8,6,7,7,7,1961,1985,,,691,1543,0.448,165,478,0.345,414,592,0.699,338,1006,381,162,114,445,501
159,Miami (FL),29,16,13,0.552,7.54,4.92,8,8,12,4,4,8,2039,1963,,,713,1728,0.413,206,595,0.346,407,568,0.717,397,1024,409,257,137,434,567
160,Miami (OH),33,17,16,0.515,4.63,2.54,10,8,10,4,4,9,1997,1928,,,726,1667,0.436,132,416,0.317,413,558,0.74,337,1036,346,176,51,362,606
161,Michigan State,33,28,5,0.848,25.12,9.54,13,3,17,0,7,3,2553,2039,,,957,1957,0.489,146,453,0.322,493,686,0.719,514,1404,579,210,133,451,611
162,Michigan,28,10,18,0.357,3.21,11.39,4,12,8,7,2,8,1983,2190,,,697,1546,0.451,134,418,0.321,455,642,0.709,348,1019,381,138,112,475,607
163,Middle Tennessee,27,5,22,0.185,-11.95,-2.11,1,15,4,9,1,12,1790,2012,,,646,1469,0.44,182,538,0.338,316,463,0.683,261,842,420,179,83,420,442
164,Milwaukee,28,15,13,0.536,2.85,2.16,7,7,10,2,5,10,1939,1826,,,669,1603,0.417,244,666,0.366,357,546,0.654,318,915,410,182,82,327,561
165,Minnesota,32,18,14,0.563,9.44,9.47,5,11,12,6,5,6,2330,2309,,,800,1878,0.426,248,660,0.376,482,689,0.7,385,1116,492,231,120,437,606
166,Mississippi State,31,18,13,0.581,13.15,8.69,7,9,14,4,3,8,2323,2185,,,845,1890,0.447,176,551,0.319,457,693,0.659,496,1277,424,205,91,479,605
167,Mississippi Valley State,27,18,9,0.667,-9.16,-12.72,14,4,13,1,5,8,2159,2050,,,770,1878,0.41,250,713,0.351,369,530,0.696,471,1186,361,139,141,317,521
168,Mississippi,35,27,8,0.771,15.05,9.2,11,5,15,1,6,4,2496,2262,,,865,1958,0.442,224,655,0.342,542,829,0.654,416,1227,500,285,115,500,719
169,Missouri-Kansas City,30,14,16,0.467,-1.57,-3.46,9,7,9,5,5,9,1889,1815,,,665,1655,0.402,244,734,0.332,315,414,0.761,269,874,378,225,80,285,499
170,Missouri State,29,13,16,0.448,0.57,2.19,8,10,10,4,2,11,1850,1897,,,670,1539,0.435,132,354,0.373,378,530,0.713,339,1013,344,126,107,402,555
171,Missouri,33,20,13,0.606,10.76,9.19,9,7,13,1,3,8,2493,2402,,,847,2015,0.42,279,734,0.38,520,742,0.701,466,1259,418,258,132,497,679
172,Monmouth,31,21,10,0.677,-3.82,-8.85,15,5,10,2,8,7,2180,2024,,,756,1664,0.454,201,570,0.353,467,678,0.689,300,1055,439,280,105,471,517
173,Montana State,30,16,14,0.533,-1.09,-2.92,8,8,11,3,4,9,2257,2183,,,771,1588,0.486,226,544,0.415,489,715,0.684,274,927,489,206,83,466,613
174,Montana,27,11,16,0.407,-4.82,-2.06,6,10,10,5,1,11,1946,1974,,,667,1456,0.458,172,481,0.358,440,646,0.681,320,942,408,156,95,402,567
175,Morehead State,28,12,16,0.429,-8.25,-4.22,6,10,7,6,5,9,1976,2073,,,696,1518,0.458,174,480,0.363,410,564,0.727,280,851,436,206,38,457,489
176,Morgan State,29,6,23,0.207,-17.31,-10.04,4,15,2,7,2,14,1954,2165,,,692,1593,0.434,118,345,0.342,452,702,0.644,348,988,308,200,82,478,600
177,Mount St. Mary's,28,7,21,0.25,-17.23,-8.63,7,13,5,7,2,13,1779,2020,,,616,1594,0.386,149,471,0.316,398,575,0.692,316,922,303,232,117,489,551
178,Murray State,29,17,12,0.586,-1.73,-1.51,11,5,11,2,6,9,2317,2289,,,860,1811,0.475,193,525,0.368,404,615,0.657,422,1166,469,196,132,481,589
179,Navy,31,19,12,0.613,-1.67,-5.67,9,3,10,3,8,9,2338,2188,,,812,1842,0.441,137,462,0.297,577,889,0.649,470,1232,358,299,145,579,800
180,Nebraska,30,14,16,0.467,7.94,7.28,7,9,8,6,3,9,2134,2086,,,775,1591,0.487,184,480,0.383,400,670,0.597,381,1075,459,237,114,529,574
181,Nevada-Las Vegas,29,16,13,0.552,4.6,5.04,7,7,12,3,3,8,2199,2169,,,774,1752,0.442,174,520,0.335,477,700,0.681,362,1101,458,215,159,445,614
182,Nevada,28,10,18,0.357,0.76,4.09,3,13,9,5,1,12,1980,2046,,,681,1690,0.403,144,422,0.341,474,705,0.672,383,1053,370,204,46,417,651
183,New Hampshire,28,7,21,0.25,-14.48,-4.91,6,12,5,6,2,14,2032,2300,,,686,1768,0.388,229,682,0.336,431,654,0.659,378,1033,406,243,76,489,685
184,New Mexico State,28,14,14,0.5,1.25,-2.57,10,6,7,6,6,7,2079,1928,,,753,1713,0.44,164,438,0.374,409,599,0.683,396,1042,354,217,107,374,555
185,New Mexico,34,21,13,0.618,6.96,5.27,6,8,15,4,4,8,2361,2265,,,829,1879,0.441,183,534,0.343,520,818,0.636,384,1178,423,227,136,398,704
186,New Orleans,29,17,12,0.586,-1.95,-3.83,10,6,11,5,5,6,2012,1887,,,696,1524,0.457,186,444,0.419,434,638,0.68,,967,391,226,84,443,548
187,Niagara,28,15,13,0.536,-4.97,-3.62,12,6,7,5,8,8,2099,2137,,,712,1739,0.409,200,622,0.322,475,691,0.687,436,1082,370,199,120,415,615
188,Nicholls State,28,14,14,0.5,-12.86,-8.68,12,8,8,6,6,8,1919,1982,,,700,1618,0.433,133,385,0.345,386,627,0.616,402,1024,412,213,39,477,590
189,Norfolk State,29,12,17,0.414,-12.7,-7.74,11,7,7,4,4,12,2126,2270,,,757,1761,0.43,157,482,0.326,455,691,0.658,411,1102,350,214,87,496,610
190,North Carolina-Asheville,28,15,13,0.536,-9.75,-7.67,9,5,9,2,6,10,1910,1951,,,640,1417,0.452,142,392,0.362,488,696,0.701,297,983,340,215,110,498,559
191,North Carolina A&T,30,13,17,0.433,-13.82,-10.96,8,10,8,4,2,11,2051,2128,,,726,1773,0.409,161,494,0.326,438,668,0.656,425,1169,350,208,71,498,583
192,North Carolina-Greensboro,31,19,12,0.613,-5.02,-5.85,10,6,10,1,6,10,2282,2230,,,773,1741,0.444,184,480,0.383,552,718,0.769,343,1049,414,271,118,475,648
193,North Carolina State,29,13,16,0.448,12.35,10.8,5,11,11,6,2,8,2141,2096,,,732,1668,0.439,170,469,0.362,507,753,0.673,398,1099,372,234,119,482,579
194,North Carolina-Wilmington,30,19,11,0.633,2.47,-0.57,11,5,11,1,6,8,1842,1751,,,676,1605,0.421,176,510,0.345,314,472,0.665,330,999,334,204,92,380,536
195,North Carolina,33,26,7,0.788,19.95,11.77,13,3,12,2,8,3,2611,2341,,,945,1972,0.479,189,519,0.364,532,794,0.67,411,1363,576,244,184,518,576
196,North Texas,28,4,24,0.143,-17.43,1.81,1,15,4,9,0,14,2015,2471,,,708,1611,0.439,107,390,0.274,492,731,0.673,351,990,342,200,89,552,517
197,Northeastern,29,10,19,0.345,-11.92,-4.13,8,10,7,5,2,12,2129,2355,,,807,1768,0.456,148,434,0.341,367,524,0.7,360,935,420,264,101,510,510
198,Northern Arizona,29,15,14,0.517,-2.24,-3.54,8,8,10,3,4,8,2109,2023,,,717,1512,0.474,237,571,0.415,438,611,0.717,285,1015,446,125,41,460,546
199,Northern Illinois,28,5,23,0.179,-11.47,0.68,4,14,4,9,1,12,1864,2159,,,702,1595,0.44,181,509,0.356,279,442,0.631,331,927,335,181,99,450,574
200,Northern Iowa,31,7,24,0.226,-5.2,2.23,3,15,5,7,1,12,1865,2086,,,664,1587,0.418,147,445,0.33,390,621,0.628,278,961,355,224,61,474,617
201,Northwestern State,32,19,13,0.594,-11.1,-7.82,11,9,8,3,8,9,2292,2397,,,768,1856,0.414,175,551,0.318,581,877,0.662,410,1178,392,308,133,537,765
202,Northwestern,30,11,19,0.367,3.38,7.88,3,13,8,8,1,10,1801,1936,,1200,622,1538,0.404,202,643,0.314,355,529,0.671,311,903,423,215,65,410,520
203,Notre Dame,30,20,10,0.667,14.35,5.68,11,5,13,4,6,4,2338,2078,,,814,1763,0.462,219,570,0.384,491,714,0.688,370,1214,527,199,178,434,501
204,Oakland,28,12,16,0.429,-6.28,-1.04,8,8,9,6,3,10,2089,2200,,,686,1544,0.444,219,602,0.364,498,708,0.703,294,924,397,166,51,425,572
205,Ohio State,31,20,11,0.645,15.68,8.17,11,5,14,3,5,4,2206,1973,,,775,1645,0.471,169,443,0.381,487,697,0.699,355,1090,473,161,160,471,607
206,Ohio,30,19,11,0.633,4.79,1.51,12,6,12,1,6,8,2248,2132,,,771,1687,0.457,196,564,0.348,510,761,0.67,384,1108,446,215,146,462,695
207,Oklahoma State,30,20,10,0.667,10.81,4.7,10,6,15,1,4,7,2129,1936,,,767,1652,0.464,129,395,0.327,466,736,0.633,364,1139,406,241,115,506,568
208,Oklahoma,33,26,7,0.788,15.54,5.48,12,4,13,1,5,5,2454,2122,,,859,1924,0.446,242,636,0.381,494,668,0.74,420,1184,444,281,91,420,706
209,Old Dominion,31,13,18,0.419,-0.08,1.23,7,9,9,4,3,11,2094,2108,,,724,1726,0.419,175,534,0.328,471,683,0.69,375,1126,408,209,113,463,632
210,Oral Roberts,29,10,19,0.345,-10.13,-2.63,5,11,7,7,2,9,2071,2221,,,726,1551,0.468,188,473,0.397,431,597,0.722,270,921,400,152,59,470,616
211,Oregon State,30,10,20,0.333,4.48,8.8,4,14,7,7,1,12,1856,1913,,,632,1448,0.436,217,650,0.334,375,516,0.727,224,821,399,155,46,380,544
212,Oregon,28,14,14,0.5,8.72,7.9,5,13,9,6,5,8,2187,2164,,,735,1641,0.448,208,605,0.344,509,709,0.718,334,1006,426,176,98,450,656
213,Pacific,30,18,12,0.6,0.63,-1.07,8,8,10,4,4,7,2065,1918,,,701,1569,0.447,208,595,0.35,455,692,0.658,319,1085,404,156,58,454,588
214,Penn State,33,21,12,0.636,12.42,10.54,7,9,10,4,5,6,2535,2473,,,835,1962,0.426,278,757,0.367,587,768,0.764,349,1069,481,279,117,407,657
215,Pennsylvania,29,12,17,0.414,-3.11,-2.73,9,5,7,6,5,10,1925,1936,,,666,1582,0.421,223,639,0.349,370,595,0.622,352,1049,405,159,98,556,556
216,Pepperdine,31,22,9,0.71,9.74,1.77,12,2,10,2,9,6,2344,2097,,,828,1866,0.444,214,612,0.35,474,667,0.711,399,1113,409,288,83,413,680
217,Pittsburgh,33,19,14,0.576,7.38,5.19,7,9,13,4,3,9,2247,2156,,,820,1803,0.455,190,578,0.329,417,676,0.617,404,1171,496,234,123,510,566
218,Portland State,27,9,18,0.333,-9.5,-1.22,6,10,8,3,1,15,1910,2093,,,669,1533,0.436,193,546,0.353,379,548,0.692,281,866,410,213,82,480,639
219,Portland,28,11,17,0.393,-5.64,0.53,4,10,6,7,5,6,1954,2058,,,682,1567,0.435,148,447,0.331,442,617,0.716,307,964,403,204,93,468,561
220,Prairie View,28,6,22,0.214,-24.35,-11.11,5,13,5,7,1,15,1974,2316,,,743,1801,0.413,166,511,0.325,322,507,0.635,384,1090,330,214,95,504,548
221,Princeton,27,16,11,0.593,-2.53,-1.88,11,3,9,1,6,7,1562,1569,,,540,1203,0.449,218,619,0.352,264,363,0.727,174,692,383,180,61,340,456
222,Providence,31,21,10,0.677,13.74,5.44,11,5,13,3,8,3,2359,2049,,1240,806,1809,0.446,249,622,0.4,498,693,0.719,391,1129,506,286,172,467,644
223,Purdue,32,17,15,0.531,14.7,9.23,6,10,13,7,3,7,2391,2216,,,810,1821,0.445,205,540,0.38,566,781,0.725,339,1076,484,226,147,441,683
224,Quinnipiac,27,6,21,0.222,-16.86,-9.43,3,17,4,8,1,12,1906,2086,,,684,1572,0.435,160,470,0.34,378,563,0.671,284,989,397,155,80,486,674
225,Radford,29,19,10,0.655,-7.67,-7.78,12,2,11,0,6,9,2110,2082,,,723,1676,0.431,196,637,0.308,468,717,0.653,371,1095,391,265,136,498,589
226,Rhode Island,30,7,23,0.233,-6.38,4.28,3,13,6,8,1,12,2090,2409,,,732,1777,0.412,131,473,0.277,495,713,0.694,342,1016,400,246,105,479,596
227,Rice,30,14,16,0.467,2.33,3.71,5,11,10,5,3,9,1886,1915,,,632,1589,0.398,183,518,0.353,439,623,0.705,346,1061,329,197,78,414,616
228,Richmond,29,22,7,0.759,9.08,-0.09,12,4,12,2,9,4,2029,1763,,,723,1580,0.458,223,600,0.372,360,509,0.707,272,937,470,162,139,317,445
229,Rider,28,16,12,0.571,-4.58,-4.97,11,7,10,3,6,8,2022,2011,,,702,1520,0.462,148,483,0.306,470,677,0.694,309,982,410,203,74,410,410
230,Robert Morris,29,7,22,0.241,-16.09,-7.3,7,13,5,6,2,14,1964,2219,,,708,1600,0.443,114,376,0.303,434,634,0.685,303,974,406,232,66,515,614
231,Rutgers,27,11,16,0.407,4.75,5.23,3,13,8,7,2,9,1764,1777,,,627,1417,0.442,142,381,0.373,368,621,0.593,369,955,360,135,96,391,488
232,Sacramento State,27,5,22,0.185,-13.25,-1.75,2,14,5,9,0,13,1905,2110,,,680,1598,0.426,148,477,0.31,397,619,0.641,362,874,377,269,68,476,567
233,Sacred Heart,28,7,21,0.25,-19.64,-7.85,6,14,5,7,2,13,1870,2200,,,685,1633,0.419,173,501,0.345,327,545,0.6,365,984,390,165,65,465,585
234,Saint Francis (PA),27,9,18,0.333,-14.29,-8.88,9,11,5,7,4,11,1814,1958,,,596,1389,0.429,192,511,0.376,430,610,0.705,299,887,386,151,90,418,474
235,Saint Joseph's,33,26,7,0.788,12.72,4.45,14,2,13,1,10,5,2625,2352,,,905,1879,0.482,255,716,0.356,560,808,0.693,368,1241,590,204,128,479,652
236,Saint Louis,31,17,14,0.548,10.03,5.9,8,8,11,4,4,8,2173,2045,,,759,1663,0.456,115,298,0.386,540,774,0.698,337,1101,417,204,111,451,681
237,Saint Mary's (CA),29,2,27,0.069,-18.27,3.12,0,14,2,11,0,14,1777,2332,,,615,1652,0.372,182,596,0.305,365,602,0.606,333,963,330,204,58,488,640
238,Saint Peter's,28,4,24,0.143,-13.72,-2.04,2,16,4,9,0,15,1941,2268,,,737,1701,0.433,155,467,0.332,312,467,0.668,342,897,398,193,58,451,609
239,Sam Houston State,29,16,13,0.552,-8.16,-9.23,11,9,11,3,4,9,2224,2116,,,768,1767,0.435,171,522,0.328,517,755,0.685,419,1177,499,281,143,504,677
240,Samford,29,15,14,0.517,-4.07,-6.14,11,7,8,3,5,9,1890,1817,,,669,1431,0.468,284,770,0.369,268,423,0.634,223,902,482,136,73,407,507
241,San Diego State,28,14,14,0.5,2.25,2.71,4,10,12,5,2,8,1925,1891,,,671,1508,0.445,164,467,0.351,419,636,0.659,286,973,427,183,89,427,520
242,San Diego,29,16,13,0.552,4.49,0.27,7,7,7,6,8,7,2024,1875,,,656,1484,0.442,161,439,0.367,551,812,0.679,340,1049,386,175,56,432,630
243,San Francisco,30,12,18,0.4,-3.87,0.81,5,9,7,6,4,10,2050,2166,,,697,1559,0.447,159,449,0.354,497,707,0.703,332,1072,378,153,148,550,646
244,San Jose State,28,14,14,0.5,4.26,5.56,6,10,9,5,5,9,1806,1778,,,663,1471,0.451,120,362,0.331,360,498,0.723,310,980,332,134,88,410,524
245,Santa Clara,32,20,12,0.625,2.91,2.84,10,4,9,4,7,5,2238,2222,,,750,1873,0.4,188,617,0.305,550,770,0.714,431,1255,381,200,72,474,691
246,Seton Hall,31,16,15,0.516,6.48,6.03,5,11,12,5,2,9,2306,2292,,,840,2030,0.414,250,761,0.329,376,587,0.641,431,1278,491,217,236,432,520
247,Siena,31,20,11,0.645,0.66,-3.27,12,6,11,2,7,8,2408,2284,,,815,1848,0.441,266,709,0.375,512,694,0.738,352,1115,495,214,98,473,702
248,South Alabama,33,22,11,0.667,1.8,-0.91,11,5,13,4,9,7,2262,2131,,,780,1713,0.455,176,462,0.381,526,769,0.684,387,1104,461,299,52,537,642
249,South Carolina State,32,19,13,0.594,-7.51,-7.8,14,4,9,2,7,10,2093,2084,,,748,1792,0.417,163,507,0.321,438,646,0.678,432,1151,350,283,94,512,600
250,South Carolina,30,15,15,0.5,10.03,9.03,6,10,10,6,4,8,2042,2012,,,701,1682,0.417,189,625,0.302,451,670,0.673,395,1077,411,257,89,439,471
251,South Florida,31,18,13,0.581,10.49,5.49,9,7,11,2,5,8,2305,2150,,,849,1864,0.455,160,496,0.323,447,742,0.602,423,1161,513,292,132,484,708
252,Southeast Missouri State,30,18,12,0.6,-3.57,-5.1,8,8,10,4,5,6,2172,2045,,,761,1616,0.471,209,525,0.398,441,597,0.739,274,1008,411,151,111,431,531
253,Southeastern Louisiana,29,8,21,0.276,-15.4,-8.58,5,15,4,7,4,13,1673,1832,,,584,1408,0.415,144,451,0.319,361,574,0.629,308,897,323,203,71,483,612
254,Southern California,34,24,10,0.706,16.53,10.83,11,7,13,3,7,5,2620,2420,,,898,1955,0.459,208,597,0.348,616,873,0.706,422,1250,514,259,151,512,617
255,Southern Illinois,30,16,14,0.533,2.35,2.28,10,8,10,4,6,7,2189,2166,,,749,1708,0.439,180,480,0.375,511,747,0.684,371,1086,468,207,68,438,657
256,Southern Methodist,30,18,12,0.6,7.85,3.95,8,8,10,2,6,7,2306,2156,,,802,1833,0.438,159,472,0.337,543,786,0.691,440,1212,393,194,97,378,529
257,Southern Mississippi,31,22,9,0.71,10.97,4.5,11,5,12,2,7,6,2176,1936,,,720,1659,0.434,210,591,0.355,526,787,0.668,367,1147,418,185,126,428,640
258,Southern Utah,31,25,6,0.806,3.01,-3.42,13,3,13,0,9,5,2243,2015,,,783,1602,0.489,197,493,0.4,480,673,0.713,335,997,462,321,87,470,613
259,Southern,27,11,16,0.407,-16.55,-14.44,8,10,8,5,2,10,1965,2019,,,669,1607,0.416,159,491,0.324,468,715,0.655,376,1057,330,215,83,445,568
260,St. Bonaventure,30,18,12,0.6,7.74,4.54,9,7,12,2,5,9,2231,2135,,,746,1734,0.43,229,624,0.367,510,724,0.704,409,1048,393,231,52,408,583
261,St. Francis (NY),29,18,11,0.621,-5.76,-8.62,16,4,9,2,7,8,2297,2214,,,769,1682,0.457,201,589,0.341,558,809,0.69,349,1060,438,256,107,529,664
262,St. John's (NY),29,14,15,0.483,9.03,8.27,8,8,11,4,2,10,2625,2109,,,905,1879,0.482,255,716,0.356,560,808,0.693,434,1052,590,281,84,472,657
263,Stanford,34,31,3,0.912,25.76,9.86,16,2,13,2,11,0,2829,2226,,,953,1865,0.511,252,587,0.429,671,903,0.743,365,1244,568,187,108,438,778
264,Stephen F. Austin,26,9,17,0.346,-13.75,-9.7,6,14,5,7,3,10,1551,1595,,,546,1249,0.437,109,317,0.344,350,504,0.694,264,852,288,189,59,431,472
265,Stetson,29,17,12,0.586,-5.99,-7.99,11,7,10,3,6,8,2178,2086,,,813,1811,0.449,181,516,0.351,371,569,0.652,452,1168,437,186,50,416,512
266,Stony Brook,28,17,11,0.607,-9.42,-6.81,,,13,1,4,10,1966,1884,,,661,1398,0.473,151,423,0.357,493,694,0.71,282,952,405,193,92,487,494
267,Syracuse,34,25,9,0.735,11.14,5.82,10,6,15,2,4,5,2475,2294,,,885,2029,0.436,185,552,0.335,520,727,0.715,442,1311,545,325,203,441,681
268,Temple,37,24,13,0.649,16.2,9.77,12,4,12,5,8,6,2604,2366,,,926,2168,0.427,281,815,0.345,471,673,0.7,494,1322,416,270,138,307,585
269,Tennessee-Martin,28,10,18,0.357,-9.89,-3.37,5,11,9,4,1,14,2021,2074,,,776,1662,0.467,109,378,0.288,360,586,0.614,356,997,464,209,93,460,571
270,Tennessee State,29,10,19,0.345,-7.59,-3.25,7,9,7,5,3,13,2317,2396,,,847,1910,0.443,260,737,0.353,363,505,0.719,296,901,492,312,58,398,615
271,Tennessee Tech,29,20,9,0.69,-0.63,-3.4,13,3,14,0,6,8,2296,2084,,,768,1706,0.45,244,677,0.36,516,689,0.749,390,1061,480,254,39,397,500
272,Tennessee,33,22,11,0.667,15.49,10.28,8,8,13,3,6,6,2668,2496,,,909,1980,0.459,257,697,0.369,593,872,0.68,421,1301,528,232,191,528,712
273,Texas A&M,30,10,20,0.333,-2.19,5.95,3,13,7,7,1,10,2083,2298,,,716,1692,0.423,129,434,0.297,522,778,0.671,400,1114,395,180,71,487,650
274,Texas-Arlington,28,13,15,0.464,-12.47,-8.86,11,9,9,3,4,12,2049,2129,,,694,1703,0.408,169,478,0.354,492,702,0.701,353,1084,337,240,65,465,585
275,Texas Christian,31,20,11,0.645,11.89,1.79,9,7,16,1,3,7,2902,2550,,,968,2110,0.459,268,724,0.37,698,934,0.747,465,1232,587,372,175,434,664
276,Texas-El Paso,32,23,9,0.719,7.82,3.04,10,6,16,2,6,7,2571,2388,,,878,1786,0.492,182,523,0.348,633,841,0.753,295,1178,523,195,142,528,610
277,Texas-Rio Grande Valley,29,12,17,0.414,-6.42,-2.42,,,9,2,2,14,2228,2148,,,822,1711,0.48,226,602,0.375,358,551,0.65,371,1012,437,258,57,558,504
278,Texas-San Antonio,29,14,15,0.483,-9.33,-7.76,12,8,9,4,5,10,2144,2182,,,732,1772,0.413,166,567,0.293,514,834,0.616,448,1263,431,184,78,497,636
279,Texas Southern,29,7,22,0.241,-21.23,-10.92,5,13,4,6,3,13,1868,2192,,,640,1810,0.354,190,751,0.253,398,571,0.697,456,1090,288,183,57,444,564
280,Texas State,28,13,15,0.464,-13.59,-8.99,10,10,8,5,5,10,1963,2009,,,674,1621,0.416,172,524,0.328,443,646,0.686,363,1047,338,239,74,466,610
281,Texas Tech,28,9,19,0.321,0.12,5.49,3,13,6,8,2,9,1918,2069,,,695,1669,0.416,139,493,0.282,389,576,0.675,350,1019,409,211,104,447,479
282,Texas,34,25,9,0.735,14.25,8.89,12,4,16,1,6,5,2396,2211,,,819,1990,0.412,215,626,0.343,543,835,0.65,483,1346,414,268,191,502,771
283,Toledo,33,22,11,0.667,7.01,1.44,12,6,12,4,6,6,2388,2204,,,803,1756,0.457,210,598,0.351,572,855,0.669,353,1137,443,226,62,478,574
284,Towson,29,12,17,0.414,-10.84,-7.67,7,11,8,4,3,12,1997,2089,,,692,1513,0.457,149,446,0.334,464,700,0.663,279,949,463,239,67,502,526
285,Troy,31,19,12,0.613,-4.83,-5.89,12,6,9,3,6,8,2332,2279,,,819,1869,0.438,262,772,0.339,432,588,0.735,366,1097,432,256,97,395,541
286,Tulane,30,9,21,0.3,-5.75,4.89,2,14,8,7,1,11,2170,2428,,,771,1727,0.446,126,408,0.309,502,782,0.642,408,1105,417,245,96,562,618
287,Tulsa,37,26,11,0.703,13.26,5.12,10,6,16,3,6,8,2840,2539,,,997,2160,0.462,288,741,0.389,558,760,0.734,442,1393,610,267,161,514,691
288,UCLA,32,23,9,0.719,17.13,12.06,14,4,12,4,8,3,2544,2382,,,902,1947,0.463,190,535,0.355,550,829,0.663,441,1219,464,249,127,515,670
289,Utah State,34,28,6,0.824,9.97,-1.5,13,3,15,0,7,4,2404,1959,,,852,1755,0.485,200,513,0.39,500,743,0.673,370,1177,511,220,132,486,581
290,Utah,31,19,12,0.613,10.29,6.14,10,4,13,3,5,7,2227,1957,,,762,1622,0.47,206,546,0.377,497,721,0.689,347,1141,430,184,104,450,631
291,Valparaiso,32,24,8,0.75,3.38,-2.8,13,3,12,1,8,4,2270,2039,,,754,1648,0.458,251,658,0.381,511,745,0.686,374,1200,503,192,145,500,578
292,Vanderbilt,30,15,15,0.5,8.62,8.93,4,12,12,7,3,7,2118,2122,,,748,1779,0.42,214,661,0.324,408,578,0.706,389,1068,438,211,76,431,567
293,Vermont,29,12,17,0.414,-10.31,-5.93,7,11,8,5,3,11,2124,2251,,,755,1742,0.433,217,616,0.352,397,609,0.652,370,1065,436,189,113,443,577
294,Villanova,31,18,13,0.581,8.16,6.45,8,8,14,3,3,9,2376,2323,,,845,1708,0.495,187,587,0.319,499,734,0.68,385,1144,521,211,136,569,620
295,Virginia Commonwealth,30,16,14,0.533,0.15,-0.27,9,7,12,3,3,9,2192,2165,,,770,1753,0.439,185,510,0.363,467,720,0.649,381,1153,382,191,134,435,604
296,VMI,28,9,19,0.321,-13.22,-6.41,5,11,7,6,2,12,1905,2039,,,667,1681,0.397,159,530,0.3,412,666,0.619,418,1081,337,239,86,511,625
297,Virginia Tech,27,8,19,0.296,-5.37,3.81,2,14,6,9,1,10,1770,2018,,,613,1484,0.413,169,526,0.321,375,573,0.654,351,935,329,221,123,504,544
298,Virginia,29,20,9,0.69,18.93,8.72,9,7,15,1,5,7,2464,2168,,,852,1872,0.455,204,553,0.369,556,755,0.736,437,1131,420,221,98,399,590
299,Wagner,29,16,13,0.552,-5.86,-9.86,11,9,11,3,4,9,2393,2277,,,845,1884,0.449,231,618,0.374,472,660,0.715,348,1042,502,292,91,486,653
300,Wake Forest,30,19,11,0.633,20.53,10.5,8,8,13,3,6,6,2296,1995,,,838,1815,0.462,177,494,0.358,443,609,0.727,342,1104,465,219,136,375,572
301,Washington State,28,12,16,0.429,3.64,7.04,5,13,10,6,2,10,1874,1969,,,624,1479,0.422,154,455,0.338,472,669,0.706,313,914,273,196,77,439,547
302,Washington,30,10,20,0.333,-0.06,10.11,4,14,5,10,4,9,2027,2302,,,756,1823,0.415,160,523,0.306,355,617,0.575,409,1077,406,196,99,531,624
303,Weber State,29,15,14,0.517,-1.17,-0.8,8,8,9,3,4,10,2257,2225,,,773,1664,0.465,137,405,0.338,574,790,0.727,374,1058,392,178,33,444,663
304,West Virginia,29,17,12,0.586,3.45,3.95,8,8,12,4,4,7,2139,2141,,,753,1679,0.448,130,409,0.318,503,730,0.689,403,1176,418,161,100,475,558
305,Western Carolina,31,6,25,0.194,-15.14,-4.35,3,13,5,8,0,14,2030,2341,,,727,1729,0.42,187,549,0.341,389,561,0.693,344,1043,406,197,137,548,568
306,Western Illinois,28,5,23,0.179,-12.88,-1.7,5,11,3,9,2,11,1943,2250,,,688,1629,0.422,205,539,0.38,362,539,0.672,346,960,407,144,57,447,596
307,Western Kentucky,31,24,7,0.774,8.67,-1.65,14,2,13,2,9,4,2303,1889,,,812,1789,0.454,213,605,0.352,466,674,0.691,441,1240,452,246,155,453,588
308,Western Michigan,28,7,21,0.25,-7.17,0.4,7,11,5,8,2,12,1860,2072,,,636,1572,0.405,179,521,0.344,409,586,0.698,357,893,327,204,48,404,602
309,Wichita State,28,9,19,0.321,-1.1,2.11,4,14,9,7,0,11,1789,1880,,,627,1496,0.419,161,499,0.323,374,523,0.715,303,981,404,142,74,413,555
310,William & Mary,28,11,17,0.393,-5.74,-2.42,7,9,8,4,3,11,1712,1805,,,603,1467,0.411,156,491,0.318,350,533,0.657,339,1028,371,148,99,431,615
311,Winthrop,31,18,13,0.581,-3.73,-7.8,11,3,11,1,5,8,2037,1917,,,684,1676,0.408,215,613,0.351,454,661,0.687,398,1103,351,223,78,441,610
312,Wisconsin,29,18,11,0.621,14.9,12.08,9,7,13,2,5,7,1723,1641,,,575,1349,0.426,174,477,0.365,399,568,0.702,233,869,358,172,68,337,520
313,Wofford,28,12,16,0.429,-4.43,-1.97,7,9,9,4,3,11,1990,1928,,,714,1683,0.424,182,604,0.301,380,565,0.673,379,1009,370,223,106,364,540
314,Wright State,29,18,11,0.621,1.41,-1.09,8,6,14,3,4,8,2063,1941,,,720,1510,0.477,121,339,0.357,502,690,0.728,319,1033,423,191,109,479,563
315,Wyoming,30,20,10,0.667,8.93,3.86,10,4,12,2,7,7,2282,2117,,,774,1731,0.447,146,513,0.285,588,837,0.703,392,1226,505,193,144,437,650
